	Ageing	APOBEC	MMR	SBS5	Technical	PolE	SBS40	SBS17	Tobacco	SBS38	UV	SBS28
Ageing		Breast_cancer, Cervix_CA, Eso_AdenoCa			Skin_Melanoma			Stomach_AdenoCa	Head_SCC	Skin_Melanoma		
APOBEC	Breast_cancer, Cervix_CA, Eso_AdenoCa		Breast_cancer, Stomach_AdenoCa, Uterus_AdenoCa	Cervix_CA, Head_SCC		Uterus_AdenoCa			Head_SCC, Lung_AdenoCa, Lung_SCC			
MMR		Breast_cancer, Stomach_AdenoCa, Uterus_AdenoCa					ColoRect_AdenoCa, Stomach_AdenoCa, Uterus_AdenoCa	Stomach_AdenoCa				Uterus_AdenoCa
SBS5		Cervix_CA, Head_SCC			Lung_AdenoCa, Skin_Melanoma		ColoRect_AdenoCa, Lung_AdenoCa, Ovary_AdenoCa, Sarcoma, Stomach_AdenoCa, Uterus_AdenoCa			Skin_Melanoma		
Technical	Skin_Melanoma			Lung_AdenoCa, Skin_Melanoma					Lung_AdenoCa, Lung_SCC		Skin_Melanoma	
PolE		Uterus_AdenoCa					Uterus_AdenoCa					
SBS40			ColoRect_AdenoCa, Stomach_AdenoCa, Uterus_AdenoCa	ColoRect_AdenoCa, Lung_AdenoCa, Ovary_AdenoCa, Sarcoma, Stomach_AdenoCa, Uterus_AdenoCa		Uterus_AdenoCa			Lung_AdenoCa			
SBS17	Stomach_AdenoCa		Stomach_AdenoCa									
Tobacco	Head_SCC	Head_SCC, Lung_AdenoCa, Lung_SCC			Lung_AdenoCa, Lung_SCC		Lung_AdenoCa					
SBS38	Skin_Melanoma			Skin_Melanoma							Skin_Melanoma	
UV					Skin_Melanoma					Skin_Melanoma		
SBS28			Uterus_AdenoCa									
